ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
MYE,MASTERMYNE GROUP LIMITED,Andrew,2,1,1,6,5,0,"Andrew Watts, Andrew Kazakoff",Caroline Chan,Caroline Chan (F) | Jeff Whiteman (M) | Wayne Bull (M) | Ben Gargett (M) | Andrew Watts (M) | Andrew Kazakoff (M)
MM1,MIDAS MINERALS LTD,Michael,2,1,1,4,3,0,"Michael Bohm, Michael Wilson",Sara Kelly,Sara Kelly (F) | Mark Calderwood (M) | Michael Bohm (M) | Michael Wilson (M)
PGC,PARAGON CARE LIMITED,Peter,2,1,1,5,4,0,"Peter Lacaze, Peter Egglestone",Carmen Riley,Peter Lacaze (M) | Carmen Riley (F) | David Collins (M) | Peter Egglestone (M) | John Walstab (M)
PWR,PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,John,2,1,1,6,5,0,"John Weir Ingram, John Andrew Eastham",Catherine Jane West,John Ingram (M) | Andrew Doyle (M) | Paul Warren (M) | John Eastham (M) | Niranjan Peiris (M) | Catherine West (F)
PRG,PRL GLOBAL LTD,Lip,2,1,1,6,5,0,"Lip Jen Tee, Lip Sin Tee",Chain Yee Tee,David Somerville (M) | Lip Tee (M) | Hong Lai (M) | Keng Ong (M) | Lip Tee (M) | Chain Tee (F)
PME,PRO MEDICUS LIMITED,Anthony,2,1,1,6,4,1,"Anthony Hall, Anthony Glenning",Deena Shiff,Peter Kempen (M) | Sam Hupert (?) | Anthony Hall (M) | Leigh Farrell (M) | Anthony Glenning (M) | Deena Shiff (F)
REP,RAM ESSENTIAL SERVICES PROPERTY FUND,Scott,2,1,1,5,4,0,"Scott Charles Kelly, Scott Wehl",Marianne Perkovic,Scott Kelly (M) | Scott Wehl (M) | Marianne Perkovic (F) | Steven Pritchard (M) | Kieran Pryke (M)
SLD,"SALUDA MEDICAL, INC.",Robert,2,1,1,7,6,0,"Robert Carrington Faulkner, Robert Jon Palmisano",Catherine Brighid Livingstone,Douglas Godshall (M) | Barry Regan (M) | Quentin Blackford (M) | Geoffrey Brooke (M) | Robert Faulkner (M) | Catherine Livingstone (F) | Robert Palmisano (M)
SCP,SCALARE PARTNERS HOLDINGS LIMITED,James,2,1,1,6,5,0,"James David Walker, James Rodney Lougheed",Adelle Howse,Adelle Howse (F) | Giles Bourne (M) | James Walker (M) | Neil Carter (M) | James Lougheed (M) | Beau Quarry (M)
SCN,SCORPION MINERALS LIMITED,Michael,2,1,1,4,3,0,"Michael John Kitney, Michael Fotios",Kate Briony Stoney,Michael Kitney (M) | Michael Fotios (M) | Kate Stoney (F) | Peter Koller (M)
SEG,SPORTS ENTERTAINMENT GROUP LIMITED,Craig,2,1,1,7,6,0,"Craig Coleman, Craig Francis Hutchison",Jodie Simm,Craig Coleman (M) | Craig Hutchison (M) | Chris Giannopoulos (M) | Jodie Simm (F) | Andrew Moffat (M) | Colm O'Brien (M) | Ron Hall (M)
SGQ,ST GEORGE MINING LIMITED,John,2,1,1,3,2,0,"John Prineas, John Dawson",Sarah Shipway,John Prineas (M) | John Dawson (M) | Sarah Shipway (F)
SNL,SUPPLY NETWORK LIMITED,Peter,2,1,1,6,5,0,"Peter W Gill, Peter W McKenzie",Karen L Phin,Robert Fraser (M) | Geoff Stewart (M) | Gregory Forsyth (M) | Peter Gill (M) | Peter McKenzie (M) | Karen Phin (F)
YRL,YANDAL RESOURCES LIMITED,Chris,2,1,1,4,3,0,"Chris Oorschot, Chris Newman",KATINA LAW,Greg Evans (M) | Chris Oorschot (M) | KATINA LAW (F) | Chris Newman (M)
ZGL,ZICOM GROUP LIMITED,Kok,2,1,1,8,6,1,"Kok Yew Sim, Kok Hwee Sim",Jenny Lim,Giok Sim (M) | Kok Sim (M) | Jenny Lim (F) | Stewart Douglas (M) | Yian Lim (M) | Jonathan Lim (M) | Dean Tai (?) | Kok Sim (M)
