ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
EL8,ELEVATE URANIUM LTD,Scott,1,0,1,3,3,0,Scott Graham Perry,(none),Scott Perry (M) | Murray Hill (M) | Stephen Mann (M)
ELS,ELSIGHT LIMITED,Howard,1,0,1,4,3,1,Howard Digby,(none),Retired Shafran (?) | Howard Digby (M) | David Furstenberg (M) | Joshua Landau (M)
EMB,EMBELTON LIMITED,George,1,0,1,3,3,0,George Embelton,(none),George Embelton (M) | James Embelton (M) | Ross Baldwin (M)
EMT,EMETALS LIMITED,Gary,1,0,1,3,3,0,Gary Lyons,(none),Gary Lyons (M) | Teck Wong (M) | Mathew Walker (M)
EMA,EMINENCE MINERALS LIMITED,Agha,1,0,1,3,3,0,Agha Shahzad Pervez,(none),Agha Pervez (M) | Ming Chye (M) | Ali Raza (M)
ERM,EMMERSON RESOURCES LIMITED,Mark,1,0,1,3,3,0,Mark Connelly,(none),Mark Connelly (M) | Michael Dunbar (M) | Alan Tate (M)
EMP,EMPEROR ENERGY LIMITED,Douglas,1,0,1,6,6,0,Douglas Jendry,(none),Douglas Jendry (M) | Timothy Handley (M) | Carl Dumbrell (M) | Nigel Harvey (M) | Malcolm King (M) | Philip McNamara (M)
ERL,EMPIRE RESOURCES LIMITED,Michael,1,0,1,3,3,0,Michael Ruane,(none),Michael Ruane (M) | Jeremy Atkinson (M) | Colin McCavana (M)
ENR,ENCOUNTER RESOURCES LIMITED,Will,1,0,1,5,4,1,Will Robinson,(none),Will Robinson (M) | Peter Bewick (M) | Philip Crutchfield (M) | Simon Hay (M) | Jon Hronsky (?)
ERG,ENECO REFRESH LTD,Colin,1,0,1,5,5,0,Colin Moran,(none),Colin Moran (M) | Peter Chai (M) | Reiichi Natori (M) | Michael Pixley (M) | Koji Yoshihara (M)
EGY,ENERGY TECHNOLOGIES LIMITED,Alfred,1,0,1,3,3,0,Alfred John Chown,(none),Alfred Chown (M) | Matthew Driscoll (M) | Anthony Smith (M)
EWC,ENERGY WORLD CORPORATION LTD,Alan,1,0,1,6,6,0,Alan Jowell,(none),Alan Jowell (M) | Brian Allen (M) | Graham Elliott (M) | Sean Gardiner (M) | Michael O'Neill (M) | John Phipps (M)
ENV,ENOVA MINING LIMITED,Sia,1,0,1,4,4,0,Sia Hok Kiang,(none),Sia Kiang (M) | Eric Vesel (M) | Harun Rasip (M) | Stanislaw Wassylko (M)
ENT,ENTERPRISE METALS LIMITED,Graeme,1,0,1,3,3,0,Graeme Smith,(none),Graeme Smith (M) | Steven Hart (M) | Dermot Ryan (M)
ENP,ENTROPY NEURODYNAMICS LIMITED,Herwig,1,0,1,5,5,0,Herwig Janssen,(none),Herwig Janssen (M) | Jason Carroll (M) | Chris Ntoumenopoulos (M) | Gage Jull (M) | Daniel Tillett (M)
ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,Faldi,1,0,1,4,4,0,Faldi Ismail,(none),Faldi Ismail (M) | John Tranfield (M) | Joseph Elsen (M) | Justin Mouchacca (M)
EQX,EQUATORIAL RESOURCES LIMITED,Ian,1,0,1,4,4,0,Ian Middlemas,(none),Ian Middlemas (M) | Robert Behets (M) | Mark Pearce (M) | John Welborn (M)
EQU,EQUUS ENERGY LIMITED,Brendan,1,0,1,4,4,0,Brendan Jesser,(none),Brendan Jesser (M) | Will Barker (M) | Chris Bath (M) | Andrew Leibovitch (M)
ESR,ESTRELLA RESOURCES LIMITED,Leslie,1,0,1,3,3,0,Leslie Pereira,(none),Leslie Pereira (M) | Christopher Daws (M) | John Kingswood (M)
ESK,ETHERSTACK PLC,Peter,1,0,1,4,4,0,Peter Stephens,(none),Peter Stephens (M) | David Deacon (M) | Paul Barnes (M) | Scott Minehane (M)
EUR,EUROPEAN LITHIUM LIMITED,Antony,1,0,1,4,4,0,Antony William Paul Sage,(none),Antony Sage (M) | Michael Carter (M) | Malcolm Day (M) | Mykhailo Zhernov (M)
ERE,EUROPEAN RESOURCES LIMITED,Thomas,1,0,1,5,5,0,Thomas Joseph Mann,(none),Thomas Mann (M) | Jason Beckton (M) | John Levings (M) | Peter Nightingale (M) | Stephen Gemell (M)
EVR,EV RESOURCES LTD,Shane,1,0,1,5,5,0,Shane Menere,(none),Shane Menere (M) | Michael Brown (M) | Adrian Paul (M) | Luke Martino (M) | Justin Werner (M)
EVE,EVE HEALTH GROUP LIMITED.,Rod,1,0,1,4,3,1,Rod Hannington,(none),Rod Hannington (M) | Damian Wood (M) | Stuart Gunzburg (?) | Gregory Fry (M)
EG1,EVERGOLD MINERALS LIMITED,Simon,1,0,1,4,4,0,Simon Richard Lill,(none),Simon Lill (M) | Glenn Grayson (M) | Peter Marks (M) | Steven Morris (M)
EV8,EVERLAST MINERALS LTD.,Paul,1,0,1,3,3,0,Paul Qian,(none),Paul Qian (M) | George Edwards (M) | Greg Starr (M)
EVZ,EVZ LIMITED,Graham,1,0,1,5,5,0,Graham Burns,(none),Graham Burns (M) | Scott Farthing (M) | Richard Betts (M) | Robert Edgley (M) | Ian Luck (M)
